479,总编/副总编,478
480,编辑,478
481,作家/撰稿人,478
482,记者,478
483,电话采编,478
484,美术编辑,478
485,排版设计,478
486,校对/录入,478
487,出版/发行,478
488,电分操作员,478
489,印刷排版/制版,478
490,数码直印/菲林输出,478
491,打稿机操作员,478
492,调墨技师,478
493,印刷机械机长,478
494,晒版/拼版/装订/烫金技工,478
495,其他,478
496,艺术/设计,419
497,平面设计总监,496
498,平面设计经理/主管,496
499,平面设计师,496
500,绘画,496
501,动画/3D设计,496
502,店面/陈列/展览设计,496
503,多媒体设计,496
504,包装设计,496
505,工业/产品设计,496
506,工艺品/珠宝设计鉴定,496
507,家具/家居用品设计,496
508,玩具设计,496
509,其他,496
510,建筑/房地产,0
511,建筑工程,510
512,高级建筑工程师/总工,511
513,建筑工程师,511
514,建筑设计师,511
515,结构/土木/土建工程师,511
516,公路/桥梁/港口/隧道工程,511
517,岩土工程,511
518,楼宇自动化,511
519,电气工程,511
520,安防工程师,511
521,给排水/暖通工程,511
522,幕墙工程师,511
523,规划与设计,511
524,室内外装潢设计,511
525,园艺/园林/景观设计,511
526,测绘/测量,511
527,建筑制图,511
528,开发报建,511
529,工程造价师/预结算经理,511
530,预结算员,511
531,建筑工程管理/项目经理,511
532,建筑工程验收,511
533,工程监理,511
534,合同管理,511
535,安全员,511
536,资料员,511
537,施工员,511
538,其他,511
539,房地产,510
540,房地产项目/开发/策划经理,539
541,房地产项目/开发/策划主管/专员,539
542,房产项目配套工程师,539
543,房地产项目招标专员,539
544,房地产评估,539
545,房地产中介/交易,539
546,房地产销售经理/主管,539
547,房地产销售人员,539
548,其他,539
549,物业管理,510
550,高级物业顾问/物业顾问,549
551,物业管理经理/主管,549
552,物业管理专员/助理,549
553,物业招商/租赁/租售,549
554,物业设施管理人员,549
555,物业维修人员,549
556,其他,549
557,人事/行政/高级管理,0
558,人力资源,557
559,人事总监,558
560,人事经理,558
561,人事主管,558
562,人事专员,558
563,人事助理,558
564,招聘经理/主管,558
565,招聘专员/助理,558
566,薪资福利经理/主管,558
567,薪资福利专员/助理,558
568,绩效考核经理/主管,558
569,绩效考核专员/助理,558
570,培训经理/主管,558
571,培训专员/助理/培训师,558
572,企业文化/员工关系/工会管理,558
573,人力资源信息系统专员,558
574,其他,558
575,高级管理,557
576,首席执行官CEO/总裁/总经理,575
577,首席运营官COO,575
578,副总经理/副总裁,575
579,合伙人,575
580,总监,575
581,办事处首席代表,575
582,办事处/分公司/分支机构经理,575
583,策略发展总监,575
584,总裁助理/总经理助理,575
585,其他,575
586,行政/后勤,557
587,行政总监,586
588,行政经理/主管/办公室主任,586
589,行政专员/助理,586
590,经理助理/秘书,586
591,前台接待/总机/接待生,586
592,后勤,586
593,图书管理员/资料管理员,586
594,电脑操作员/打字员,586
595,其他,586
596,咨询/法律/教育/科研,0
597,咨询/顾问,596
598,专业顾问,597
599,咨询总监,597
600,咨询经理,597
601,专业培训师,597
602,咨询员,597
603,调研员,597
604,猎头/人才中介,597
605,情报信息分析人员,597
606,其他,597
607,律师/法务/合规,596
608,律师/法律顾问,607
609,律师助理,607
610,法务经理,607
611,法务主管/专员,607
612,法务助理,607
613,合规经理,607
614,合规主管/专员,607
615,知识产权/专利顾问/专员,607
616,其他,607
617,教师,596
618,校长,617
619,大学教授,617
620,讲师/助教,617
621,中学教师,617
622,小学教师,617
623,幼教,617
624,院校教务管理人员,617
625,兼职教师,617
626,家教,617
627,职业技术教师,617
628,其他,617
629,培训,596
630,培训督导,629
631,培训讲师,629
632,培训策划,629
633,培训助理,629
634,培训/课程顾问,629
635,其他,629
636,科研人员,596
637,科研管理人员,636
638,科研人员,636
639,服务业,0
640,餐饮/娱乐,639
641,餐饮/娱乐管理,640
642,餐饮/娱乐领班/部长,640
643,餐饮/娱乐服务员,640
644,传菜主管/传菜员,640
645,礼仪/迎宾,640
646,司仪,640
647,行政主厨/厨师长,640
648,厨师/面点师,640
649,调酒师/吧台员,640
650,茶艺师,640
651,其他,640
652,酒店/旅游,639
653,酒店/宾馆经理,652
654,酒店/宾馆营销,652
655,宴会管理,652
656,大堂经理,652
657,宾客服务经理,652
658,楼面经理,652
659,前厅接待,652
660,预定部主管,652
661,预定员,652
662,客房服务员/楼面服务员,652
663,机场代表,652
664,行李员,652
665,管家部经理/主管,652
666,健身房服务,652
667,清洁服务人员,652
668,导游/旅行顾问,652
669,订票/订房服务,652
670,其他,652
671,美容/健身/体育,639
672,美容顾问/化妆,671
673,彩妆培训师,671
674,专柜彩妆顾问(BA),671
675,美容助理/见席美容师,671
676,瘦身顾问,671
677,发型师,671
678,发型助理/学徒,671
679,美甲师,671
680,按摩/足疗,671
681,健身顾问/教练,671
682,体育运动教练,671
683,救生员,671
684,瑜伽/舞蹈老师,671
685,宠物护理/美容,671
686,其他,671
687,百货/连锁/零售服务,639
688,店长/卖场经理/楼面管理,687
689,品类经理,687
